cve,entidad,sup,pob
1,Aguascalientes,5625,1184996
2,BajaCalifornia,71546,3155070
3,BajaCaliforniaSur,73943,637026
4,Campeche,57727,822441
5,CoahuiladeZaragoza,151445,2748391
6,Colima,5627,650555
7,Chiapas,73681,4796580
8,Chihuahua,247487,3406465
9,DistritoFederal(a),1484,8851080
10,Durango,123367,1632934
11,Guanajuato,30621,5486372
12,Guerrero,63618,3388768
13,Hidalgo,20856,2665018
14,Jalisco,78630,7350682
15,México,22333,15175862
16,MichoacándeOcampo,58667,4351037
17,Morelos,4892,1777227
18,Nayarit,27862,1084979
19,NuevoLeón,64203,4653458
20,Oaxaca,93343,3801962
21,Puebla,34251,5779829
22,QuerétaroArteaga,11658,1827937
23,QuintanaRoo,42535(b)(c),1325578
24,SanLuisPotosí,61165,2585518
25,Sinaloa,57331,2767761
26,Sonora,179516,2662480
27,Tabasco,24747,2238603
28,Tamaulipas,80148,3268554
29,Tlaxcala,3997,1169936
30,VeracruzdeIgnaciodelaLlave,71856,7643194
31,Yucatán,39671,1955577
32,Zacatecas,75416,1490668
